stat_id,word,freq.,cap_lower,cap_upper,cap_title,cap_other
68,leave,55,55,0,0,0
69,home,63,60,1,2,0
70,dawn,1,1,0,0,0
71,noon,1,1,0,0,0
72,meal,3,3,0,0,0
73,half,11,10,0,1,0
74,bottle,5,5,0,0,0
75,wine,7,7,0,0,0
76,guaranteed,1,1,0,0,0
77,course,48,48,0,0,0
78,do,458,407,4,47,0
79,but,338,277,1,60,0
80,keep,57,51,0,6,0
81,bring,47,47,0,0,0
82,credit,6,6,0,0,0
83,it,1029,789,14,226,0
84,end,93,87,2,4,0
85,bit,28,28,0,0,0
86,table,19,19,0,0,0
87,only,205,197,0,8,0
88,two,141,141,0,0,0
89,other,254,237,0,17,0
90,all,353,308,1,44,0
91,stand,36,34,0,2,0
92,chair,22,21,1,0,0
93,completely,7,7,0,0,0
94,piss,5,5,0,0,0
95,suit,7,7,0,0,0
96,singing,5,5,0,0,0
97,lose,20,20,0,0,0
98,great,71,65,0,6,0
99,day,90,88,0,2,0
100,first,145,139,0,6,0
101,established,4,4,0,0,0
102,black,25,24,0,1,0
103,player,18,18,0,0,0
104,see,153,142,0,11,0
105,several,35,32,0,3,0
106,time,160,158,0,2,0
107,over,103,94,0,9,0
108,work,267,260,0,7,0
109,club,23,23,0,0,0
110,hospitality,4,4,0,0,0
111,staff,43,42,0,1,0
112,travel,16,16,0,0,0
113,guest,3,3,0,0,0
114,away,28,28,0,0,0
115,ground,21,21,0,0,0
116,matter,23,21,1,1,0
117,drink,8,8,0,0,0
118,Dom,1,0,0,1,0
119,wear,24,24,0,0,0
120,still,69,65,0,4,0
121,give,154,151,0,3,0
122,some,204,177,0,27,0
123,behave,3,3,0,0,0
124,like,123,119,0,4,0
125,level,57,56,0,1,0
126,play,80,74,0,6,0
127,brief,9,9,0,0,0
128,visit,63,58,0,5,0
129,top,58,48,4,6,0
130,division,5,5,0,0,0
131,decide,23,23,0,0,0
132,settle,4,4,0,0,0
133,the,426,391,0,35,0
134,preference,6,4,0,2,0
135,place,102,99,0,3,0
136,native,7,7,0,0,0
137,London,63,0,0,63,0
138,Crystal,2,0,0,2,0
139,way,118,112,0,6,0
140,stay,22,22,0,0,0
141,here,83,70,0,13,0
142,know,124,123,0,1,0
143,as,767,677,1,89,0
144,people,185,169,0,16,0
145,town,32,32,0,0,0
146,team,46,44,0,2,0
147,even,84,71,0,13,0
148,follow,86,73,0,13,0
149,result,42,41,0,1,0
150,will,528,528,0,0,0
151,can,379,379,0,0,0
152,back,104,83,1,20,0
153,on,11,10,0,1,0
154,again,37,33,0,4,0
155,season,20,20,0,0,0
156,wo,17,17,0,0,0
157,old,72,69,0,3,0
158,friend,16,16,0,0,0
159,watch,22,22,0,0,0
160,from,563,541,0,22,0
161,seat,18,18,0,0,0
162,cost,34,33,0,1,0
163,quid,3,3,0,0,0
164,game,40,40,0,0,0
165,get,201,184,0,17,0
166,ticket,7,6,0,1,0
167,good,202,190,0,12,0
168,up,88,87,0,1,0
169,Premiership,8,0,0,8,0
170,except,12,11,0,1,0
171,own,90,90,0,0,0
172,single,25,25,0,0,0
173,go,201,189,0,12,0
174,straight,14,12,0,2,0
175,down,62,62,0,0,0
176,maybe,5,5,0,0,0
177,care,20,20,0,0,0
178,different,57,57,0,0,0
179,million,26,26,0,0,0
180,Champions,1,0,0,1,0
181,League,3,0,0,3,0
182,collapse,2,2,0,0,0
183,transfer,21,21,0,0,0
184,fee,27,24,0,3,0
185,present,51,49,1,1,0
186,near,22,20,0,2,0
187,future,27,26,0,1,0
188,entirely,5,5,0,0,0
189,past,33,31,0,2,0
190,Britain,42,0,0,42,0
191,city,22,22,0,0,0
192,think,95,91,0,4,0
193,miniature,3,3,0,0,0
194,wind,8,8,0,0,0
195,decade,7,7,0,0,0
196,what,121,121,0,0,0
197,regard,21,20,0,1,0
198,Promotion,1,0,0,1,0
199,league,8,8,0,0,0
200,such,80,80,0,0,0
201,Mark,4,0,0,4,0
202,cabbie,1,1,0,0,0
203,independent,16,16,0,0,0
204,Premier,3,0,0,3,0
205,rain,1,1,0,0,0
206,Man,5,0,1,4,0
207,sit,29,28,0,1,0
208,now,136,123,0,13,0
209,fuck,1,1,0,0,0
210,opera,2,2,0,0,0
211,Football,4,0,0,4,0
212,brother,10,10,0,0,0
213,affinity,1,1,0,0,0
214,ca,24,24,0,0,0
215,smoke,23,20,0,3,0
216,fart,1,1,0,0,0
217,singular,3,3,0,0,0
218,come,154,150,1,3,0
219,anomalous,1,1,0,0,0
220,pack,10,8,0,2,0
221,Island,13,0,0,13,0
222,populate,2,2,0,0,0
223,urban,7,6,0,1,0
224,Europe,32,0,0,32,0
225,also,209,196,0,13,0
226,pugnacious,1,1,0,0,0
227,kind,21,21,0,0,0
228,local,84,81,0,3,0
229,newspaper,15,15,0,0,0
230,crime,14,13,1,0,0
231,fortune,6,6,0,0,0
